document,avg_cosine_with_dovish,avg_cosine_with_hawkish,date
20190308.txt,0.614018645632056,0.40526701523139413,2019-03-08
20190311.txt,0.5353112728758291,0.4059428376230327,2019-03-11
20190312.txt,0.5884595427472713,0.4279793066493535,2019-03-12
20190325.txt,0.5439348220825195,0.25596126914024353,2019-03-25
20190328.txt,0.5244150097988196,0.4364466761307628,2019-03-28
20190329.txt,0.5764171712777831,0.5035337414253842,2019-03-29
20190402.txt,0.5764658046735299,0.39489046039210784,2019-04-02
20190409.txt,0.5712010421686702,0.39896524132835487,2019-04-09
20190410.txt,0.5607907995581627,0.46050529181957245,2019-04-10
20190411.txt,0.5646824293136596,0.3822422830462456,2019-04-11
20190503.txt,0.6449902358711982,0.3662688138381559,2019-05-03
20190508.txt,0.6154295002872293,0.41424951634623786,2019-05-08
20190509.txt,0.47263953974470496,0.37309931707568467,2019-05-09
20190510.txt,0.4453960802082134,0.3577145346827582,2019-05-10
20190513.txt,0.5648514197341034,0.3542892889651869,2019-05-13
20190516.txt,0.521185232378612,0.503536065465936,2019-05-16
20190517.txt,0.6130885129625147,0.4641333831982179,2019-05-17
20190520.txt,0.5199256388141829,0.42385481705195177,2019-05-20
20190530.txt,0.5491435618982429,0.42397436671668576,2019-05-30
20190603.txt,0.5011063615481058,0.2355251337091128,2019-06-03
20190604.txt,0.5707117701621399,0.4004819177321552,2019-06-04
20190605.txt,0.5937001339850887,0.3758887057342837,2019-06-05
20190621.txt,0.5719281569333143,0.4283994214845375,2019-06-21
20190625.txt,0.5527570111825403,0.43477665062631127,2019-06-25
20190701.txt,0.5747030770039037,0.40372711721889293,2019-07-01
20190709.txt,0.5339317357712338,0.44571085246104114,2019-07-09
20190711.txt,0.4248679849718298,0.49517424196182264,2019-07-11
20190716.txt,0.5184133901045873,0.4444936037391097,2019-07-16
20190805.txt,0.5603290750193841,0.43834545040867995,2019-08-05
20190820.txt,0.5115449958377414,0.4251079060551193,2019-08-20
20190823.txt,0.5319763578392647,0.39443300164990375,2019-08-23
20190904.txt,0.6335664767968027,0.36978114592401606,2019-09-04
20190905.txt,0.6051316114894131,0.48415497179437234,2019-09-05
20190926.txt,0.5518241483776063,0.3974770786424066,2019-09-26
