document,dovish,hawkish,neutral,date
20190520.txt,0.14598305250313512,0.17538114840117844,0.678635801659445,2019-05-20
20190530.txt,0.1663978835060074,0.15451767051920234,0.679084445461021,2019-05-30
20190603.txt,0.002266327712277416,0.0015620807874559735,0.9961716135342916,2019-06-03
20190604.txt,0.11690043337722207,0.06616743666201784,0.8169321320058668,2019-06-04
20190605.txt,0.002614086405716784,0.05471844801063379,0.9426674702535233,2019-06-05
20190621.txt,0.23588223598050373,0.1590784951095743,0.6050392698216199,2019-06-21
20190625.txt,0.08627727777168899,0.04690447600090421,0.866818245315916,2019-06-25
20190701.txt,0.14155698725387023,0.05362325336544177,0.8048197536649188,2019-07-01
20190709.txt,0.024007344411898574,0.03240610709710965,0.9435865579717705,2019-07-09
20190711.txt,0.14447040742232362,0.24664936129929196,0.6088802293341447,2019-07-11
20190716.txt,0.23500449684617886,0.10972746237430428,0.6552680429212869,2019-07-16
20190805.txt,0.000520163357052916,0.008527839343233356,0.9909519897293799,2019-08-05
20190820.txt,0.00025975511026546074,0.005185445392473614,0.9945547928412756,2019-08-20
20190823.txt,0.1474099558715382,0.1454059604232068,0.7071840824908497,2019-08-23
20190904.txt,0.04419068228937823,0.0019013819539012683,0.9539079348752765,2019-09-04
20190905.txt,0.04773928962771479,0.11001323003495743,0.8422474782698708,2019-09-05
20190926.txt,0.08546319516644306,0.04490058672574585,0.8696362170871225,2019-09-26
20190927.txt,0.05056548207067591,0.036279378799168115,0.9131551363000957,2019-09-27
20191001.txt,0.00018305780448220807,0.0003196964269136515,0.9994972286125025,2019-10-01
20191003.txt,0.007514068081765484,0.020610421968800544,0.9718755052601995,2019-10-03
20191004.txt,0.0001763391774147749,0.00022648510639555752,0.9995971322059631,2019-10-04
20191007.txt,0.06161641708361761,0.07076510990433842,0.8676184637507605,2019-10-07
20191008.txt,0.09746850716436638,0.18256560902124408,0.7199658893849709,2019-10-08
20191009.txt,0.1439278506507565,0.06670554089796496,0.7893666151661559,2019-10-09
20191016.txt,0.02838589276201886,0.0012415458207009327,0.9703725615854504,2019-10-16
20191017.txt,0.0276161187650315,0.002210085658056991,0.9701737946626253,2019-10-17
20191018.txt,0.21951499948560618,0.21403069112582468,0.5664543194224179,2019-10-18
20191021.txt,0.0010465876871559444,0.00028803289795618957,0.9986653905926328,2019-10-21
20191101.txt,0.15978273435113627,0.0792727369009269,0.7609445336465648,2019-11-01
20191108.txt,0.04264746283876197,0.06588910062154438,0.8914634308911804,2019-11-08
20191112.txt,0.00012062252790201455,0.00020193288219161332,0.9996775388717651,2019-11-12
20191114.txt,0.06858521324569397,0.05061900043731696,0.8807957828262652,2019-11-14
20191125.txt,0.265928002913664,0.1685593404680035,0.5655126584908929,2019-11-25
